"ID","Category","Name","Status","Total","NonCompliant","C","D","R","E_i","E_norm","Effort","Objects","Remediation"
"3.13","management","Host must unlock accounts after a specified timeout  period","COMPLIANT","2","0","1","0","1","0,65","0","BASSO","","Get-VMHost | Get-AdvancedSetting -Name Security.AccountUnlockTime | Set AdvancedSetting -Value 900"
"3.20","management","Host must enable normal lockdown mode","NON-COMPLIANT","2","2","2","1","2","1,65","0,5","MEDIO","esxi-host-13.lab.local | esxi-host-14.lab.local","# Enable lockdown mode for each host  Get-VMHost | Foreach { $_.EnterLockdownMode() }"
"3.21","management","Host should enable strict lockdown mode","NON-COMPLIANT","2","2","3","2","3","2,65","1","ALTO","esxi-host-13.lab.local (mode=lockdownDisabled) | esxi-host-14.lab.local (mode=lockdownDisabled)","# Enable lockdown mode for each host  Get-VMHost | Foreach { $_.EnterLockdownMode() }"
"4.2","logging","Host must transmit system logs to a remote log collector ","COMPLIANT","2","0","2","0","1","1,05","0,2","BASSO","","# Set Syslog.global.logHost for each host  Get-VMHost | Foreach { Set-AdvancedSetting -VMHost $_ -Name  Syslog.global.logHost -Value ""<NewLocation>"" }"
"5.6","network","Host should reject forged transmits on standard virtual  switches and port groups","COMPLIANT","0","0","1","0","1","0,65","0","BASSO","","# esxcli network vswitch standard policy security set -v vSwitch2 -f false"
"5.7","network","Host should reject MAC address changes on standard  virtual switches and port groups","COMPLIANT","0","0","1","0","1","0,65","0","BASSO","","# esxcli network vswitch standard policy security set -v vSwitch2 -m false"
"5.8","network","Host should reject promiscuous mode requests on  standard virtual switches and port groups","COMPLIANT","0","0","1","0","1","0,65","0","BASSO","","# esxcli network vswitch standard policy security set -v vSwitch2 -p false"
"5.9","network","Host must restrict access to a default or native VLAN on  standard virtual switches","COMPLIANT","0","0","2","1","2","1,65","0,5","MEDIO","","1. From the vSphere Web Client, select the host.  2. Click Configure then expand Networking.  3. Select Virtual switches.  4. Expand the Standard vSwitch.  5. View the topology diagram of the switch, which shows the various port groups  associated with that switch.  6. For each port group on the vSwitch, verify and record the VLAN IDs used.  7. If a VLAN ID change is needed, click the name of the port group in the topology  diagram of the virtual switch.  8. Click the Edit settings option.  9. In the Properties section, enter an appropriate name in the Network label field.  10. In the VLAN ID dropdown select or type a new VLAN.  11. Click OK."
"5.10","network","Host must restrict the use of Virtual Guest Tagging  (VGT) on standard virtual switches","COMPLIANT","0","0","2","1","2","1,65","0,5","MEDIO","","1. From the vSphere Web Client, select the host.  2. Click Configure then expand Networking.  3. Select Virtual switches.  4. Expand the Standard vSwitch.  5. View the topology diagram of the switch, which shows the various port groups  associated with that switch.  6. For each port group on the vSwitch, verify and record the VLAN IDs used.  7. If a VLAN ID change is needed, click the name of the port group in the topology  diagram of the virtual switch.  8. Click the Edit settings option.  9. In the Properties section, enter an appropriate name in the Network label field.  10. In the VLAN ID dropdown select or type a new VLAN.  11. Click OK."
"6.3.1","features","Host iSCSI client, if enabled, must employ  bidirectional/mutual CHAP authentication","NON-COMPLIANT","2","2","2","1","2","1,65","0,5","MEDIO","Host=esxi-host-13.lab.local Adapter=vmhba65 (ChapType=) | Host=esxi-host-14.lab.local Adapter=vmhba65 (ChapType=)","# Set the Chap settings for the Iscsi Adapter  Get-VMHost | Get-VMHostHba | Where {$_.Type -eq ""Iscsi""} | Set-VMHostHba  #Use desired parameters here"
"7.4","virtual-machines","Virtual machines should deactivate 3D graphics features  when not required","NON-COMPLIANT","35","33","1","0","1","0,65","0","BASSO","VM=vm-0068 (impostazione assente) | VM=vm-0763 (impostazione assente) | VM=vm-0706 (impostazione assente) | VM=vm-0636 (impostazione assente) | VM=vm-1062 (impostazione assente) | VM=vm-0667 (impostazione assente) | VM=vm-0004 (impostazione assente) | VM=vm-0637 (impostazione assente) | VM=vm-0467 (impostazione assente) | VM=vm-0762 (impostazione assente) | VM=vm-0661 (impostazione assente) | VM=vm-0660 (impostazione assente) | VM=vm-0508 (impostazione assente) | VM=vm-0499 (impostazione assente) | VM=vm-0662 (impostazione assente) | VM=vm-0325 (impostazione assente) | VM=vm-0326 (impostazione assente) | VM=vm-0502 (impostazione assente) | VM=vm-0506 (impostazione assente) | VM=vm-0500 (impostazione assente) | VM=vm-0507 (impostazione assente) | VM=vm-0504 (impostazione assente) | VM=vm-0501 (impostazione assente) | VM=vm-0505 (impostazione assente) | VM=vm-0503 (impostazione assente) | VM=vm-0602 (impostazione assente) | VM=vm-0928 (impostazione assente) | VM=vm-0199 (impostazione assente) | VM=vm-0197 (impostazione assente) | VM=vm-0379 (impostazione assente) | VM=vm-0324 (impostazione assente) | VM=vm-0659 (impostazione assente) | VM=vm-0198 (impostazione assente)","Get-VM -Name $VM | Get-AdvancedSetting mks.enable3d | Set-AdvancedSetting  Value FALSE"
